number,name
24-4-2,奈良県無線・救護赤十字奉仕団
24-4-6,ルート２４ローカルクラブ
24-4-7,奈良県２ｍＳＳＢ愛好会
24-4-8,あばうとどあ２４
24-4-9,桜井市アマチュア無線ネットワーク
24-4-10,生駒市アマチュア無線非常通信協力会
24-5-1,日本ボーイスカウト奈良県連盟アマチュア無線クラブ
25-1-5,茨木アマチュア無線クラブ
25-1-6,高槻アマチュア無線クラブ
25-1-14,大阪狭山ラジオクラブ
25-1-15,交野アマチュア無線クラブ
25-1-19,池田市民アマチュア無線クラブ
25-1-20,枚方アマチュア無線クラブ
25-1-40,羽曳野無線クラブ
25-2-1,大阪大学アマチュア無線クラブ
25-3-1,パナソニック アマチュア無線クラブ
25-3-12,ドコモ関西　アマチュア無線クラブ
25-4-2,大阪府歯科医師自動車連盟ハムクラブ
25-4-17,よ～しクラブ
25-4-18,なにわクラブ
25-4-23,堺エースハムクラブ
25-4-42,阿倍野ファミリーハムクラブ
25-4-70,オフセット８８ハムクラブ
25-4-71,大阪２ｍＳＳＢ愛好会
25-4-72,パナソニック松愛会ハムクラブ
25-4-76,シャープハムクラブ
25-4-77,大正会
25-4-79,関西アマチュア無線ネットワークス
25-4-80,JR3VHクラブ
25-4-81,Ｔｅａｍ７０４３　近畿支部
25-5-1,日本ボーイスカウトほくせつ地区アマチュア無線クラブ
25-5-2,ＢＳきたおおさか無線局
25-5-3,全国学生ハムクラブ関西支部
26-1-1,はまゆうアマチュア無線クラブ
26-1-3,和歌山虎伏アマチュア無線クラブ
26-1-17,潮岬ハムクラブ
26-1-18,紀州路田辺ハムクラブ
26-1-19,紀南ハムクラブ
26-2-2,桐蔭高校アマチュア無線クラブ
26-2-3,和歌山県立和歌山工業高等学校電波研究部
26-4-1,和歌山葵クラブ
26-4-22,和歌山２ｍＳＳＢ愛好会
26-4-26,アマチュア無線和歌山クラブ
26-4-27,JARL和歌山県支部
26-4-28,和歌山６ｍＦＭ愛好会
26-5-1,和歌山海草１団ハムクラブ
26-5-2,ボーイスカウト和歌山連盟アマチュア無線クラブ
26-5-3,BS和歌山第１８団ハムクラブ
27-1-1,ＪＡＲＬ阪神クラブ
27-1-2,淡路島アマチュア無線クラブ
27-1-3,ＪＡＲＬ神戸クラブ
27-1-4,ＪＡＲＬ加古川無線クラブ
27-1-6,日本アマチュア無線連盟姫路クラブ
27-1-9,明石アマチュア無線クラブ
27-1-13,宝塚アマチュア無線クラブ
27-1-17,ＪＡＲＬ豊岡アマチュア無線クラブ
27-1-18,香住アマチュア無線クラブ
27-1-27,裏六甲アマチュア無線クラブ
27-1-36,ＪＡＲＬ氷上アマチュア無線クラブ
27-1-43,伊丹アマチュア無線クラブ
27-1-44,兵庫・武庫川アマチュア無線クラブ
27-2-4,明石高専アマチュア無線クラブ
27-2-5,県立兵庫工業高校無線研究部
27-3-13,ウエダイインアマチュア無線クラブ
27-3-14,ありがとうだんだん
27-4-3,ＱＲＶクラブ
27-4-17,しらけむし倶楽部
27-4-25,ポートピアハムクラブ
27-4-26,関西コンテストマニアクラブ
27-4-34,西国コンテストクラブ
27-4-51,とんぼ無線クラブ
27-4-54,神戸青少年アマチュア無線クラブ
27-5-1,ボーイスカウト兵庫連盟無線局
28-1-2,魚津アマチュア無線クラブ
28-1-3,滑川水橋アマチュア無線クラブ
28-1-4,ＪＡＲＬ高岡クラブ
28-1-5,ＪＡＲＬ富山クラブ
28-1-6,ＪＡＲＬ立山クラブ
28-1-7,黒部アマチュア無線クラブ
28-1-8,トナミ無線クラブ
28-1-10,小矢部クラブ
28-1-11,ＪＡＲＬ新湊クラブ
28-1-14,神通アマチュア無線クラブ
28-2-2,富山大学アマチュア無線クラブ
28-4-1,富山県無線赤十字奉仕団
28-4-18,大門アマチュア無線クラブ
28-4-21,富山フレッシュクラブ
28-4-23,クロスランドおやべアマチュア無線クラブ
28-4-25,ARDF富山
29-1-2,JARL若狭クラブ
29-1-3,ＪＡＲＬ敦賀クラブ
29-1-5,JARL大野アマチュア無線クラブ
29-1-13,ＪＡＲＬ坂井クラブ
29-1-14,ＪＡＲＬ今立クラブ
29-1-15,ＪＡＲＬ福井クラブ
29-2-2,福井高専無線研究会
29-3-1,えちぜん鉄道アマチュア無線クラブ
29-4-3,ローカルペディションクラブ
29-4-12,越前移動無線クラブ
29-4-14,福井ローテク愛好会
29-4-15,福井宇宙通信愛好会
29-4-16,福井７２クラブ
29-4-17,あすなろ倶楽部
30-1-1,小松クラブ
30-1-2,ＪＡＲＬ能登クラブ
30-1-3,ＪＡＲＬ松任短波クラブ
30-1-5,加賀アマチュア無線クラブ
30-1-8,ＪＡＲＬ金沢クラブ
30-1-9,珠洲アマチュア無線クラブ
30-2-1,金沢工業大学アマチュア無線部
30-2-2,金沢大学アマチュア無線クラブ
30-4-1,石川県無線赤十字奉仕団
30-4-7,日本モービルハムクラブ石川
30-4-11,グローバルコミュニケーションユニオン
30-4-16,北陸レディオスポーツクラブ
30-4-17,北陸ＱＲＰ同好会
31-1-1,ＪＡＲＬ倉敷クラブ
31-1-2,美作アマチュア無線クラブ
31-1-17,北房アマチュア無線クラブ
31-1-19,鷲羽ハムクラブ
31-1-20,オカヤマハロースカイクラブ
31-1-21,ＪＡＲＬ岡山県北部アマチュア無線クラブ
31-1-26,ナイスガイ
31-1-27,真庭非常無線通信協議会
31-1-28,加賀郡ハムクラブ
31-1-31,JARL津山アマチュア無線クラブ
31-2-6,岡山県立大学ＡＭＣ！
31-2-7,吉備高原学園高校放送部
31-4-16,真庭アマチュア無線クラブ
32-1-4,浜田アマチュア無線クラブ
32-1-5,石見銀山アマチュア無線クラブ
32-1-11,石東アマチュア無線クラブ
32-2-1,島根大学無線通信技術部
32-4-7,北中国ハムクラブ
32-4-9,島根県無線赤十字奉仕団
33-1-4,下関長府アマチュア無線クラブ
33-1-5,ＪＡＲＬアマチュア無線萩クラブ
33-1-7,山口アマチュア無線クラブ
33-1-9,光アマチュア無線クラブ
33-1-13,美祢アマチュア無線クラブ
33-1-20,下関アマチュア無線協議会
33-1-21,防府市アマチュア無線災害ボランティア
33-4-1,マイクロウェーブ山口
34-1-6,アマチュア無線大山クラブ
34-1-7,湯梨浜町アマチュア無線連絡会
34-4-3,米子アマチュア無線赤十字奉仕団
34-4-6,日本アマチュア無線郵趣同好会
35-1-2,アマチュア無線備後クラブ
35-1-4,JARL竹原アマチュア無線クラブ
35-1-5,帝釈峡ハムクラブ
35-1-8,７２２ハムクラブ
35-1-14,アマチュア無線福山
35-3-14,広島福留アマチュア無線クラブ
35-4-10,広島２ｍＳＳＢ愛好会
35-4-18,東広島アマチュア無線同好会
35-4-19,広島県アマチュア無線赤十字奉仕団
35-5-1,電波りようこファンクラブ
36-1-1,ＪＡＲＬ香川クラブ
36-1-2,ＪＡＲＬ西讃岐アマチュア無線クラブ
36-1-5,小豆島アマチュア無線クラブ
36-1-6,坂出アマチュア無線クラブ
36-1-8,綾歌アマチュア無線クラブ
36-1-10,讃岐うそどりハムクラブ
36-1-14,高松オリーブハムクラブ
36-1-16,京極ハムクラブ
36-1-18,直島アマチュア無線クラブ
36-2-8,香川大学アマチュア無線クラブ
36-2-9,国立大学法人香川大学学生総合防災無線局
36-4-3,四国アワードハンターズクラブ
36-4-5,香川県アマチュア無線赤十字奉仕団
36-4-8,四国レジャリーハムクラブ
36-4-9,香川防災アマチュア無線クラブ
37-1-1,ＪＡＲＬ徳島クラブ
37-1-2,南阿波アマチュア無線クラブ
37-1-8,諏訪ハムクラブ
37-1-9,池田無線クラブ
37-1-11,徳島セイブフレンドハムクラブ
37-4-8,徳島２ｍＳＳＢ愛好会
37-4-31,徳島ＤＸグループ
37-4-34,徳島防災アマチュア無線クラブ
37-4-35,ＡＲＤＦ　徳島
38-1-1,今治アマチュア無線クラブ
38-1-2,ＪＡＲＬ宇和島クラブ
38-1-3,愛媛アマチュア無線クラブ
38-1-4,大洲アマチュア無線クラブ
38-1-18,東温アマチュア無線クラブ
38-1-19,砥部町災害ボランティア・アマチュア無線クラブ
38-3-4,愛媛県庁アマチュア無線クラブ
38-3-5,松山市役所アマチュア無線クラブ
38-4-4,愛媛ＹＬハムクラブ
38-4-19,愛媛アワードハンターズグループ
38-4-21,愛媛２ｍＳＳＢ愛好会
38-4-23,松山地区ＳＨＦ研究会
38-4-25,愛媛しまなみクラブ
38-4-26,ＡＰＲＳ＆ＶｏＩＰ実験グループ
38-4-27,四国中央アマチュア無線クラブ
39-1-5,アマチュア無線よさこいクラブ
39-1-11,春野ハムクラブ
39-4-8,高知アワードハンターズグループ
39-4-10,奈半利町アマチュア無線クラブ
39-4-19,高知ＣＷ愛好会
39-4-21,高知ふとんモービルハムクラブ
39-4-22,高須アマチュア無線クラブ
39-4-23,土佐龍馬無線倶楽部
39-4-25,四国　Ａ１　ＣＬＵＢ
39-4-26,高岡郡たけのこ会
40A-1-1,三池クラブ
40A-1-2,ＪＡＲＬ久留米クラブ
40A-1-6,西福岡ハムクラブ
40A-1-13,古賀市ハムクラブ
40A-1-21,２ｍＳＳＢグループ福岡
40A-1-26,Ｒ２０９クラブ
40A-4-8,おおの大文字ハムクラブ
40A-4-19,Ｒａｄｉｏ　Ｃｌｕｂ　”Ｘ－ＴＥＮ”
40A-4-25,福岡県赤十字無線奉仕団
40B-1-1,ＪＡＲＬみやこクラブ
40B-1-4,北九州戸畑ハムクラブ
40B-1-14,京築高田会ハムクラブ
40B-1-15,築上社協無線クラブ
40B-2-1,九州工業大学自然科学部
40B-4-1,北九州ＤＸクラブ
40B-4-3,ＦＵＫＵＯＫＡ７７　ＡＭＡＴＥＵＲ　ＲＡＤＩＯ　ＣＬＵＢ
41-4-2,唐津・東松浦テレコムハムクラブ
41-4-3,佐賀ＤＸクラブ
42-1-1,長崎クラブ
42-1-4,日本アマチュア無線島原クラブ
42-3-1,三菱重工長崎アマチュア無線クラブ
42-4-1,長崎アワードハンターズクラブ
42-4-4,マイクロウェーブ・ナガサキ
42-4-6,長崎ＣＷ愛好会
42-4-8,長崎県赤十字無線奉仕団
42-4-12,ＳＳＴＶ長崎
43-1-1,アマチュア無線八代クラブ
43-1-7,宇土無銭クラブ
43-1-15,玉名ハムクラブ
43-1-16,人吉アマチュア無線クラブ
43-4-8,アマチュア無線クラブ　ユーホー
43-4-14,熊本中央アマチュア無線クラブ
43-4-18,熊本工作研究会
43-4-28,熊本アマチュア無線ボランティアクラブ
43-4-30,ＭＵＬＴＩ　ＲＡＤＩＯ　ＳＴＡＴＩＯＮ
43-4-33,くまもとＤ－ＳＴＡＲクラブ
43-4-34,熊本県無線赤十字奉仕団
44-3-1,テレビ大分アマチュア無線クラブ
44-4-7,アマチュア無線クラブアイボール日田
44-4-14,天領日田アワードハンターズグループ
45-1-1,アマチュア無線都城クラブ
45-1-2,日南アマチュア無線クラブ
45-1-11,串間アマチュア無線クラブ
45-4-7,宮崎つくしんぼアマチュア無線クラブ
45-4-16,宮崎ＣＯＮＴＥＳＴ　ＭＡＮＩＡ
45-4-23,宮崎県赤十字奉仕団アマチュア無線クラブ
46-1-27,鹿児島県アマチュア無線クラブ
46-2-5,第一工業大学情報通信研究部
46-4-10,鹿児島ＦＯＸ同好会
