順,大会ID,大会名,登録年度,登録規約URL,照合した規約URL・出典,保存資料,呼び出し方法,交信対象,大区分の出力制限,得点・デジタル・特別得点,留意点
67,all_ja0_7,ALL JA0 7MHzコンテスト,2026,https://jarl-nn.asama-net.com/index.php?html_id=00000510,https://jarl-nn.asama-net.com/index.php?html_id=00000510,all_ja0_35_7_2026.html,公式規約に定型のCQ呼び出し指定なし。,国内局同士の交信が有効。,大会全体・大区分の追加上限は確認されず,0エリア管内局との交信3点、管外局との交信1点。,
68,all_aomori,第20回オール青森コンテスト,2026,https://jarl-aomori.sakura.ne.jp/contest/all-aomori/,https://jarl-aomori.sakura.ne.jp/contest/all-aomori/,all_aomori_2026.html,電話：CQ 青森コンテスト（県内局は県内局と送出）。電信：県内局 CQ AMA TEST／県外局 CQ AM TEST。,県内局：すべての国内局。県外局：青森県内で運用する局。,大会全体・大区分の追加上限は確認されず,相手が青森県内の市なら1点、町なら2点、村なら3点。県内局から県外局への交信は1点。同一バンドの電信と電話はそれぞれ得点可。,
69,tsugaru_kaikyo,第24回津軽海峡コンテスト,2026,https://jarl-aomori.sakura.ne.jp/contest/tsugarukaikyou/,https://jarl-aomori.sakura.ne.jp/contest/tsugarukaikyou/,tsugarukaikyou_2026.html,電話：CQ津軽海峡コンテスト／電信：CQ TK TEST,管内局：国内のアマチュア局。管外局：青森県内または渡島・檜山地域で運用する局。,大会全体・大区分の追加上限は確認されず,管内局は津軽海峡を挟む渡島・檜山地域と青森県との交信3点、同一管内の局とは2点、その他1点。管外局は対象の管内局との交信1点。,
70,shizuoka,第35回静岡コンテスト,2026,https://www.jarl.com/shizuoka/35kiyaku.pdf,https://www.jarl.com/shizuoka/35kiyaku.pdf,shizuoka_35_2026.pdf,電信：県内局 CQ TEST／県外局 CQ S TEST。電話：CQ 静岡コンテスト（県内局は県内局であることを送出）。,県内局：国内のアマチュア局。県外局：静岡県内で運用する局。,大会全体・大区分の追加上限は確認されず,1.9～430MHz帯1点、1200MHz帯3点、2.4GHz帯5点、5.6GHz帯10点、10GHz帯以上20点。430MHz帯以下のQRP局との交信は2倍。QRP局同士は4点になる場合があります。,
71,all_tottori,オール鳥取コンテスト,2026,https://www.jarl.com/tottori/files/2026tttest_rules.pdf,https://www.jarl.com/tottori/files/2026tttest_rules.pdf,all_tottori_2026.pdf,県外局：電話 CQ 鳥取コンテスト／電信 CQ TTX TEST。県内局：電話 CQ 鳥取コンテスト こちらは県内局／電信 CQ TT TEST。,県内局：鳥取県内を含む国内の局。県外局：鳥取県内局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。電信電話種目では同一バンドの同一局でも電信・電話をそれぞれ1点として計上可。,
72,kagoshima,第36回鹿児島コンテスト,2026,https://www.jarl.com/kagoshima/contest/26/kiyaku.pdf,https://www.jarl.com/kagoshima/contest/26/kiyaku.pdf,kagoshima_2026.pdf,電話：CQ 鹿児島コンテストの後に県内・県外・県人局の区分。電信：県内局 CQ KG TEST／県人局 CQ KJ TEST／県外局 CQ KX TEST。,県内局・県人局：国内で運用する局。県外局：県内局と県人局。,100W以下（シングルオペ・マルチオペ共通）。100W超はチェックログ扱い。,完全な交信は1点。同一局・同一バンドでも電信と電話は各1交信ずつ有効。,
73,cq-wpx-cw,CQ World Wide WPX CW,2026,https://cqwpx.com/rules.htm,https://cqwpx.com/rules/,wpx_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。,大会全体・大区分の追加上限は確認されず,異なる大陸：14/21/28MHz帯3点、1.8/3.5/7MHz帯6点。同大陸の異なる国：高い3バンド1点、低い3バンド2点（北米局同士の例外あり）。同一国内：全バンド1点。CW部門。,
74,cq-wpx-ssb,CQ World Wide WPX SSB,2026,https://cqwpx.com/rules.htm,https://cqwpx.com/rules/,wpx_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。,大会全体・大区分の追加上限は確認されず,異なる大陸：14/21/28MHz帯3点、1.8/3.5/7MHz帯6点。同大陸の異なる国：高い3バンド1点、低い3バンド2点（北米局同士の例外あり）。同一国内：全バンド1点。SSB部門。,保存した公式ルールのSSB開催日の表記は2025とあり、登録年2026との齟齬。得点本文は確認。
75,cq-wpx-rtty,CQ World Wide WPX RTTY,2026,https://cqwpxrtty.com/rules.htm,https://cqwpxrtty.com/rules.htm,wpx_rtty_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。RTTYモードで交信。,大会全体・大区分の追加上限は確認されず,RTTYで異なる大陸：14/21/28MHz帯3点、3.5/7MHz帯6点。同大陸の異なる国：高い3バンド2点、低い2バンド4点。同一国内：高い3バンド1点、低い2バンド2点。,
76,cq-160-cw,CQ World Wide 160 Meter CW,2026,https://cq160.com/rules.htm,https://cq160.com/rules/index.htm,cq160_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。160m帯の電信交信。,大会全体・大区分の追加上限は確認されず,同一国内の局2点、同大陸の異なる国5点、異なる大陸10点。海上移動局との交信は5点（マルチにはなりません）。,
77,cq-160-ssb,CQ World Wide 160 Meter SSB,2026,https://cq160.com/rules.htm,https://cq160.com/rules/index.htm,cq160_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。160m帯のSSB交信。,大会全体・大区分の追加上限は確認されず,同一国内の局2点、同大陸の異なる国5点、異なる大陸10点。海上移動局との交信は5点（マルチにはなりません）。,
78,cq-ww-cw,CQ World Wide CW,2025,https://cqww.com/rules.htm,https://cqww.com/rules.htm,cqww_rules_2025.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。CWで交信。,大会全体・大区分の追加上限は確認されず,異なる大陸3点、同大陸の異なる国1点（北米局の例外あり）、同一国内0点（ゾーン・国マルチには算入可）。登録大会は2025年。,
79,cq-ww-ssb,CQ World Wide SSB,2025,https://cqww.com/rules.htm,https://cqww.com/rules.htm,cqww_rules_2025.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。SSBで交信。,大会全体・大区分の追加上限は確認されず,異なる大陸3点、同大陸の異なる国1点（北米局の例外あり）、同一国内0点（ゾーン・国マルチには算入可）。登録大会は2025年。,
80,cq-ww-rtty,CQ World Wide RTTY,2026,https://cqwwrtty.com/rules.htm,https://cqwwrtty.com/rules.htm,cqww_rtty_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。RTTYで交信。,大会全体・大区分の追加上限は確認されず,RTTYで異なる大陸3点、同大陸の異なる国2点、同一国内1点。,
81,cq-vhf-digi,CQ World Wide VHF Digital,2026,https://cqww-vhf.com/rules.htm,https://cqww-vhf.com/rules/,cqvhf_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。デジタル開催はFT4・FT8・MSK144・Q65等のデジタルモードのみ。,大会全体・大区分の追加上限は確認されず,50MHz帯1点、144MHz帯2点。ローバーは移動先グリッドで別交信として得点になる場合があります。,
82,cq-vhf-ssbcw,CQ World Wide VHF SSB/CW/FM,2026,https://cqww-vhf.com/rules.htm,https://cqww-vhf.com/rules/,cqvhf_rules_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。SSB/CW/FM開催はこれらアナログのモードのみ（デジタル開催は別大会）。,大会全体・大区分の追加上限は確認されず,50MHz帯1点、144MHz帯2点。ローバーは移動先グリッドで別交信として得点になる場合があります。,
83,ww-digi,World Wide Digi DX,2026,https://ww-digi.com/rules/,https://ww-digi.com/rules/,wwdigi_rules_web_2026.txt,公式規約に定型のCQ呼び出し指定なし。,世界中のアマチュア局。FT4・FT8で交信。,大会全体・大区分の追加上限は確認されず,1交信1点に、相互のグリッドスクエア中心間距離3000kmごとに1点を加算（短距離経路で計算）。同一局・同一バンドはFT4とFT8を通して1回のみ得点。,
84,scalg-6m-cw,第39回エスカルゴ6m CWコンテスト,2026,https://scalg6mcw.web.fc2.com/2026_sc_kiyaku_01a.html,https://scalg6mcw.web.fc2.com/2026_sc_kiyaku_01a.html,scalg_6m_cw_2026.html,電信：CQ SC TEST,50MHz帯の電信で交信する局。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。SWLの完全な受信も1点。,
85,all_okayama_ft,オール岡山FT8/FT4,2026,https://www.jarl.com/okayama/oy-ft8-test-rule-2026.html,https://www.jarl.com/okayama/oy-ft8-test-rule-2026.html,okayama_ft8_2026.html,FT8/FT4：CQ OYT,県内局：国内すべてのアマチュア局。県外局：岡山県内局。,大会全体・大区分の追加上限は確認されず,FT8/FT4による完全な交信は1点。同一バンドの重複はFT8とFT4を変えても1回のみ有効。相手局のログ提出がない交信は得点になりません。,
86,kcj-topband,第42回KCJトップバンドコンテスト,2026,https://kcj-cw.com/contest/rule/2026_42_top_ja_t.pdf,https://kcj-cw.com/contest/rule/2026_42_top_ja_t.pdf,kcj_topband_2026.pdf,公式規約に定型のCQ呼び出し指定なし。,国内局・国外局とのCW交信。,大会全体・大区分の追加上限は確認されず,国内局は国内局との交信1点・国外局2点。国外局は国内局2点・国外局1点。提出ログの相互照合が一致した交信のみ有効。,
87,kcj,第47回KCJコンテスト,2026,https://kcj-cw.com/contest/rule/2026_47_kcj_ja_t.pdf,https://kcj-cw.com/contest/rule/2026_47_kcj_ja_t.pdf,kcj_2026.pdf,公式規約に定型のCQ呼び出し指定なし。,国内局・国外局とのCW交信。,大会全体・大区分の追加上限は確認されず,国内局は国内局との交信1点・国外局2点。国外局は国内局2点・国外局1点。提出ログの相互照合が一致した交信のみ有効。,
